	id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
gene-YER062C	gene-YER062C	16729.87589381	7.89995285793729	0.408404079816733	19.3434719395612	2.31360768705917e-83	1.34466878771879e-79
gene-YDR536W	gene-YDR536W	10088.3875658594	7.87425693864776	0.411570713538514	19.1322090703398	1.36179332362398e-81	3.95737139845127e-78
gene-YHR094C	gene-YHR094C	8495.18381695328	7.88162386796486	0.432048964755188	18.242432017933	2.37645425885381e-74	4.60398405081945e-71
gene-YNL065W	gene-YNL065W	2109.59251633768	7.78535627383002	0.466922898693211	16.6737512673272	2.03418020907111e-62	2.95566384378032e-59
gene-YKL120W	gene-YKL120W	1727.16576088197	7.26932832013166	0.482440487924752	15.0678239121288	2.63654940119681e-51	3.06472502395117e-48
gene-YLR264W	gene-YLR264W	1387.81187716781	6.48318041175779	0.432159664434151	15.0018174885584	7.1436081556336e-51	6.91977510009041e-48
gene-YGR159C	gene-YGR159C	8021.26313257396	6.76742031702058	0.451849110924083	14.9771686021036	1.0353476882523e-50	7.52180095515297e-48
gene-YJL122W	gene-YJL122W	1291.14917225209	6.51163388594864	0.434559385928806	14.9844511401612	9.27889243697865e-51	7.52180095515297e-48
gene-YNL112W	gene-YNL112W	5328.97759833763	7.36398330856714	0.493558825828759	14.9201734893544	2.43639096929032e-50	1.57336714594615e-47
gene-YOR271C	gene-YOR271C	1052.36038007439	6.84435921025407	0.472758769804096	14.4774875632455	1.68131235248946e-47	9.77178739266877e-45
gene-YJL108C	gene-YJL108C	955.200371924124	5.9960877951944	0.427990460917207	14.0098631692502	1.35666108304262e-44	7.16810383149428e-42
gene-YJL107C	gene-YJL107C	845.32657171764	6.17172279359244	0.443100681480973	13.9284886066181	4.25259444073984e-44	2.05967324079833e-41
gene-YOR360C	gene-YOR360C	1923.1949752374	5.65887628680125	0.406989007932208	13.9042484600563	5.96905348826805e-44	2.66862606721645e-41
gene-YOL124C	gene-YOL124C	594.101731156924	7.80433114473471	0.562817908622058	13.8665295207858	1.01048902479961e-43	4.19497300866811e-41
gene-YOL136C	gene-YOL136C	1160.43896362789	5.70730204428536	0.416379937160383	13.7069573601645	9.22456996928713e-43	3.57421337743312e-40
gene-YER127W	gene-YER127W	730.701936765397	5.98033085789404	0.441273302921437	13.5524420315062	7.66374597935815e-42	2.78385572700185e-39
gene-YLR180W	gene-YLR180W	1930.66985394137	6.78031215715708	0.503972362152039	13.4537380744533	2.92693534652667e-41	1.00066754317723e-38
gene-YCR072C	gene-YCR072C	701.05391549194	5.89494299728356	0.439050752784674	13.4265639220408	4.22568215433816e-41	1.36442581561185e-38
gene-YNL141W	gene-YNL141W	2900.84297940906	6.47313923692779	0.482296612777607	13.4214901482475	4.5252148657193e-41	1.38423941050319e-38
gene-YML043C	gene-YML043C	522.191508267393	6.4139852489214	0.481894328157791	13.309941358806	2.02640723494483e-40	5.88873942474968e-38
gene-YMR300C	gene-YMR300C	1596.52769738779	5.82196315075599	0.439575482692073	13.2445128993564	4.85421015429036e-40	1.34346044841598e-37
